Wallet No,Merchant Name,MAO Name,Sub Pillar,ISD/OSD?,Wallet Type,Rate,Lead Type,District,Address,Registration Date,Sub-Category,Registration Month,Jan'26 PC,Jan'26 PA,Jan'26 CC,Avg. Ticket Size Jan,Feb'26 PC,Feb'26 PA,Feb'26 CC,Avg. Ticket Size Feb,Mar'26 PC,Mar'26 PA,Mar'26 CC,Avg. Ticket Size March,Apr'26 PC,Apr'26 PA,Apr'26 CC,Avg. Ticket Size April,May'26 PC,May'26 PA,May'26 CC,June'26 PC,June'26 PA,June'26 CC,Jul'26 PC,Jul'26 PA,Jul'26 CC,AugPC,AugPA,Aug CC,Aug Active,Avg. Ticket Size,July to Aug Growth,Dormant Months Count (Jan to Aug),Audit Flag
1325274462,Herblife Nutrition Limited,Md. Meraj Ali Akash,Online Payments,ISD,Lite A,1.15%,Merchant Referral,DHAKA,"Bolosota, Shakta, Keraniganj Model, Keraniganj Dhaka-1310",9/9/2025,Department Store,9,23,"22,490",21,978,0,0,0,N/A,1,1,1,1,0,0,0,N/A,0,0,0,0,0,0,0,0,0,3,"1,202",3,Active,400.6666667,New,1,Sudden Reactivation - Review
1511682692,Jagoron Centre fro Development,Md. Meraj Ali Akash,Education,ISD,M+,1.50%,Pitch/Own Source,DHAKA,"House-16, Road-03, Sector-07, Uttara, Dhaka-1230",1/4/2026,Coaching Center,1,3,"1,500",3,500,0,0,0,N/A,1,100,1,100,0,0,0,N/A,0,0,0,0,0,0,0,0,0,14,"21,087",10,Active,1506.214286,New,5,High Dormancy - Review
1334930481,Herblife nutrition Limited,Md. Meraj Ali Akash,KA,ISD,MMBO,1.15%,Pitch/Own Source,DHAKA,"House 13, Road 7, Shekher Tek, Adabor, Mohammoadpur, Dhaka 1207",1/5/2026,Superstore Chain,1,41,"21,855",35,533,44,"31,820",40,723,36,"20,611",32,573,50,"48,260",41,965,61,"40,748",40,46,"33,235",41,49,"29,575",38,58,"47,510",48,Active,819.137931,60.64%,5,High Dormancy - Review
1334930482,Herblife nutrition Limited,Md. Meraj Ali Akash,KA,ISD,MMBO,1.15%,Pitch/Own Source,DHAKA,"House No 16, Road 2, Sector 3, Uttara Dhaka 1230",1/5/2026,Superstore Chain,1,17,"13,066",11,769,11,"7,100",11,645,21,"16,860",17,803,20,"10,150",16,508,21,"10,315",18,27,"11,890",24,13,"10,080",13,14,"10,890",10,Active,777.8571429,8.04%,2,Monitor
1901025688,s s karim and brothers (Kamae),Md. Ashraful Islam,Online Payments,ISD,Lite A,1.29%,CIMT,DHAKA,"H-79, Do-7, Bir Uttam Ziaur Rahman Sharak, Banani, Dhaka-1213",1/6/2026,E-Commerce,1,118,"436,360",101,"3,698",268,"874,477",227,"3,263",214,"740,932",194,"3,462",442,"1,368,693",349,"3,097",399,"1,283,124",339,358,"1,328,319",307,416,"1,393,964",334,509,"1,637,927",379,Active,3217.931238,17.50%,0,Healthy/Active
1721212467,Travella,Md. Ashraful Islam,Travel & Tourism,ISD,Lite A,1.29%,Pitch/Own Source,DHAKA,"98 RAJABAZAR SHER E BANGLA NAGAR, DHANMONDI, SHER E BANGLA NAGAR, DHAKA",1/6/2026,Online,1,3,"1,050",3,350,0,0,0,N/A,4,"161,000",3,"40,250",6,"190,002",3,"31,667",6,"105,002",3,6,"296,001",3,7,"230,032",3,7,"350,002",3,Active,50000.28571,52.15%,1,Monitor
1958385951,Welburg,Md. Meraj Ali Akash,KA,ISD,MMBO,1.15%,Merchant Referral,DHAKA,"Meena Bazar, Chandrima Model Town, Mohammadpur, Dhaka-1207",1/6/2026,Home Accessories,1,81,"117,699",75,"1,453",77,"94,982",71,"1,234",98,"71,340",92,728,88,"101,692",83,"1,156",89,"96,969",81,80,"55,966",75,127,"138,903",116,79,"74,137",71,Active,938.443038,-46.63%,0,Healthy/Active
1973100392,Smart Collection,Shahriar Shamim,KA,ISD,M+,1.15%,Pitch/Own Source,DHAKA,"3 No Poschim Tejturi Bazar, Level-6, Block-C, Dokan No-41, Bashundhara City Shopping Mall, Panthopath, Tejgaon, Dhaka-1215",1/6/2026,Footwear,1,19,"44,938",19,"2,365",21,"67,309",19,"3,205",58,"135,472",54,"2,336",0,0,0,N/A,9,"57,614",7,13,"24,153",12,18,"33,090",17,21,"45,169",18,Active,2150.904762,36.50%,0,Healthy/Active
1958385961,Welburg,Md. Meraj Ali Akash,KA,ISD,MMBO,1.15%,Pitch/Own Source,DHAKA,"31/11, Tajmohol Raod, Mohammadpur, Dhaka-1207",1/6/2026,Home Accessories,1,260,"359,050",241,"1,381",0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,0,0,0,3,"4,752",3,22,"12,422",21,Active,564.6363636,161.41%,5,High Dormancy - Review
1828832507,App Store,Md. Meraj Ali Akash,KA,OSD,M+,1.15%,Pitch/Own Source,NOAKHALI,"Holding No- 48/1, Dokan No 58, 5Th Floor, Noakhali Supar Market, Maizdi Sadar, Noakhali Sadar, Noakhali-3800",1/6/2026,Mobile & Gadget,1,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,250,1,250,1,1,1,0,0,0,0,0,0,0,0,0,Zero Transacting,N/A,New,3,Monitor
